#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
embark_on_shore_leave;Embark on Shore Leave;;;;;;;;;;;;;x
embark_on_shore_leave_desc;Pirates and sailors will occasionally take a break from sea life and vacation on land, engaging in revelry and debauchery.;;;;;;;;;;;;;x
raid_sailing_ship;Raid a Sailing Ship;;;;;;;;;;;;;x
raid_sailing_ship_desc;One cannot call themselves a pirate without raiding enemy ships, and now you can have your crew attack a vessel for treasure!;;;;;;;;;;;;;x
pirate_raid;You set out with your crew...;;;;;;;;;;;;;x
TXT_shore_leave_decision;You decide to take shore leave.;;;;;;;;;;;;;
EVTDESC_shore_leave_1;The dock can be seen from your ship, and as you finally sail into port with your crew, you step onto dry land with a feeling of relief. You intend to make the most of your Shore Leave, and party like only a pirate can!;;;;;;;;;;;;;
EVTOPTA_shore_leave_1;Let's get to it!;;;;;;;;;;;;;
EVTDESC_shore_leave_2;You spend time at the markets and taverns over the next few days, even taking the chance to see performers and fools parade down the streets.;;;;;;;;;;;;;
EVTOPTA_shore_leave_2;A grand time, this is!;;;;;;;;;;;;;
EVTDESC_shore_leave_3;The final night of Shore Leave is often the one filled with the most debauchery and insanity, as many pirates bar-hop across local taverns.;;;;;;;;;;;;;
EVTOPTA_shore_leave_3;A night on the town wouldn't do us any harm!;;;;;;;;;;;;;
EVTOPTB_shore_leave_3;I'll sit this one out.;;;;;;;;;;;;;
EVTDESC_shore_leave_4;You wake up the next morning with a nasty hangover and laying down next to the pigpen. This night of drinking was not kind to you.;;;;;;;;;;;;;
EVTOPTA_shore_leave_4;I look like a damn fool.;;;;;;;;;;;;;
EVTOPTB_shore_leave_4;I've had worse.;;;;;;;;;;;;;
EVTDESC_shore_leave_5;Heavy drinking can whittle down short fuses, and all it took was some insults and scuffling for a barfight to break out. You wake up in the aftermath of said fight, worse for wear.;;;;;;;;;;;;;
EVTOPTA_shore_leave_5;They got what was coming to them.;;;;;;;;;;;;;
EVTDESC_shore_leave_6;You wake up the next morning surrounded by strangers, remembering that you had been the life of the party the night before. Stories were exchanged, songs were sung, and you made some new buddies thanks to the charismatic properties of alcohol.;;;;;;;;;;;;;
EVTOPTA_shore_leave_6;A fantastic night!;;;;;;;;;;;;;
EVTDESC_shore_leave_7;You wake up in an unfamiliar bed, in an unfamiliar room... next to an unfamiliar person. As you struggle to remember what you did last night, you hear a crude-sounding, alcohol-scented voice from the other side of the bed. "Morning there, [Root.GetLadLass]. You wanna go again? I haven't had a tumble that good in ages, and that's really saying something.";;;;;;;;;;;;;x
EVTOPTA_shore_leave_7;A wonderful idea.;;;;;;;;;;;;;
TXT_shore_leave_drunk;You drink and party into the night...;;;;;;;;;;;;;
TXT_shore_leave_end;You eventually return to your ship.;;;;;;;;;;;;;
shore_leave_timer;Embarked on Shore Leave;;;;;;;;;;;;;
EVTDESC_pirate_raid_1;Your ship sails across the waters as it seeks a vessel to hunt, and you are left to decide what sort of ship that will be. Post-Event ships don't have cannons anymore, but larger crews can put up fiercer fights.;;;;;;;;;;;;;
EVTOPTA_pirate_raid_1;Schooner;;;;;;;;;;;;;
EVTOPTB_pirate_raid_1;Brig;;;;;;;;;;;;;
EVTOPTC_pirate_raid_1;Galleon;;;;;;;;;;;;;
EVTOPTD_pirate_raid_1;Man-O-War;;;;;;;;;;;;;
EVTDESC_pirate_raid_2;The crow's nest eventually catches a glimpse of a passing schooner, and you immediately steer your ship in its direction. The black flag is raised and you approach within earshot of the schooner's crew, drawing your weapon.;;;;;;;;;;;;;
EVTOPTA_pirate_raid_2;Surrender or die, the choice is yours.;;;;;;;;;;;;;
EVTDESC_pirate_raid_3;The crow's nest eventually catches a glimpse of a passing brig, and you immediately steer your ship in its direction. The black flag is raised and you approach within earshot of the brig's crew, drawing your weapon.;;;;;;;;;;;;;
EVTOPTA_pirate_raid_3;Surrender or die, the choice is yours.;;;;;;;;;;;;;
EVTDESC_pirate_raid_4;The crow's nest eventually catches a glimpse of a passing galleon, and you immediately steer your ship in its direction. The black flag is raised and you approach within earshot of the galleon's crew, drawing your weapon.;;;;;;;;;;;;;
EVTOPTA_pirate_raid_4;Surrender or die, the choice is yours.;;;;;;;;;;;;;
EVTDESC_pirate_raid_5;The crow's nest eventually catches a glimpse of a passing man-o-war, and you immediately steer your ship in its direction. The black flag is raised and you approach within earshot of the man-o-war's crew, drawing your weapon.;;;;;;;;;;;;;
EVTOPTA_pirate_raid_5;Surrender or die, the choice is yours.;;;;;;;;;;;;;
EVTDESC_pirate_raid_6;The schooner's crew make the wise choice of surrendering immediately, guaranteeing their safety under the Code. They hand you whatever valuables they have on board, and your crew eventually sails away with treasure.;;;;;;;;;;;;;
EVTOPTA_pirate_raid_6;A successful raid, this was!;;;;;;;;;;;;;
EVTDESC_pirate_raid_7;The schooner's crew make the foolish decision to resist, drawing their own weapons to confront your crew. They will not surrender their valuables without a fight.;;;;;;;;;;;;;
EVTOPTA_pirate_raid_7;Crewmen, strike them down!;;;;;;;;;;;;;
EVTDESC_pirate_raid_8;The brig's crew make the wise choice of surrendering immediately, guaranteeing their safety under the Code. They hand you whatever valuables they have on board, and your crew eventually sails away with treasure.;;;;;;;;;;;;;
EVTOPTA_pirate_raid_8;A successful raid, this was!;;;;;;;;;;;;;
EVTDESC_pirate_raid_9;The brig's crew make the foolish decision to resist, drawing their own weapons to confront your crew. They will not surrender their valuables without a fight.;;;;;;;;;;;;;
EVTOPTA_pirate_raid_9;Crewmen, strike them down!;;;;;;;;;;;;;
EVTDESC_pirate_raid_10;The galleon's crew make the wise choice of surrendering immediately, guaranteeing their safety under the Code. They hand you whatever valuables they have on board, and your crew eventually sails away with treasure.;;;;;;;;;;;;;
EVTOPTA_pirate_raid_10;A successful raid, this was!;;;;;;;;;;;;;
EVTDESC_pirate_raid_11;The galleon's crew make the foolish decision to resist, drawing their own weapons to confront your crew. They will not surrender their valuables without a fight.;;;;;;;;;;;;;
EVTOPTA_pirate_raid_11;Crewmen, strike them down!;;;;;;;;;;;;;
EVTDESC_pirate_raid_12;The man-o-war's crew make the wise choice of surrendering immediately, guaranteeing their safety under the Code. They hand you whatever valuables they have on board, and your crew eventually sails away with treasure.;;;;;;;;;;;;;
EVTOPTA_pirate_raid_12;A successful raid, this was!;;;;;;;;;;;;;
